,text,,,,,,,,,,,,,,,,,,,,Neutral,Label
0,Amazon changed that rule about 1 5 years ago any book free on com should be free on co uk and no delivery fees,,,,,,,,,,,,,,,,,,,,1,1
1,I ordered a phone cover off amazon and its estimated delivery is 5th march How does that work Talk about taking their time,,,,,,,,,,,,,,,,,,,,N,1
2,I love buying games thru no tax release day delivery I just have to wait for the ups guy tomorrow,,,,,,,,,,,,,,,,,,,,1,1
3,Amazon Student is too savage Free 2day shipping free release date delivery on games free amazon prime video For 6 months too,,,,,,,,,,,,,,,,,,,,1,1
4,I should of bulk purchased some tins of beans when I went to pickup my Amazon delivery,,,,,,,,,,,,,,,,,,,,N,1
5,Had about 4 emails from amazon telling me when my delivery is coming I kinda got the message the first time,,,,,,,,,,,,,,,,,,,,1,1
6,40 mate including delivery it s great well worth it You ll get them on amazon,,,,,,,,,,,,,,,,,,,,1,1
7,voted hot on SanDisk Ultra Fast 32GB Free Delivery Lowest Price Ever,,,,,,,,,,,,,,,,,,,,1,1
8,Even if they are for school love a good Amazon delivery,,,,,,,,,,,,,,,,,,,,1,1
9,Amazon Prime Just check it out on there Gets you faster delivery and whatnot I order so much crap from there,,,,,,,,,,,,,,,,,,,,0,0
10,Amazon Prime a complete waste of money One wrong delivery and one no show in the space of a a week,,,,,,,,,,,,,,,,,,,,0,0
11,Home Direct and Amazon are Taking Shipping and Delivery to the Next Level ,,,,,,,,,,,,,,,,,,,,1,1
13,and first Amazon delivery,,,,,,,,,,,,,,,,,,,,1,1
14,xo got a delivery from Amazon today and probably again tomorrow,,,,,,,,,,,,,,,,,,,,N,1
15,Amazon Prime One day delivery is free But we default to 1pm next day just in case you click through too quick and don t notice Thanks,,,,,,,,,,,,,,,,,,,,1,1
16,Will Amazon Expand Grocery Delivery Beyond Seattle,,,,,,,,,,,,,,,,,,,,N,1
17,An Amazon Study Shows Why Same Day Deliveries Matter Theres been a lot of buzz lately about same day delivery wi,,,,,,,,,,,,,,,,,,,,0,0
36,Amazon has same day delivery My godmom hasn t been eating well liked my Kind bar so I ordered her some She s gonna flip when they come,,,,,,,,,,,,,,,,,,,,1,1
37,you have failed me Where is my delivery,,,,,,,,,,,,,,,,,,,,0,0
38,Thank you for such great cust svc for fixing my wrong delivery address item with such ease Kudos to Aamir who helped me,,,,,,,,,,,,,,,,,,,,1,1
39,The one month free trial of next day delivery on Amazon is sooooo useful,,,,,,,,,,,,,,,,,,,,1,1
40,HotUKdeals SanDisk Ultra Fast 32GB Free Delivery Lowest Price Ever Found by EdgarstrongA pretty go,,,,,,,,,,,,,,,,,,,,1,1
41,Estimated delivery date 5th March 2013 are you KIDDING ME AMAZON,,,,,,,,,,,,,,,,,,,,N,1
42,Amazon same day delivery How the e commerce giant will destroy local retail Slate Magazine,,,,,,,,,,,,,,,,,,,,0,0
43,Deal SanDisk Ultra Fast 32GB Free Delivery Lowest Price Ever,,,,,,,,,,,,,,,,,,,,1,1
44,SanDisk Ultra Fast 32GB Free Delivery Lowest Price Ever,,,,,,,,,,,,,,,,,,,,1,1
45,jimz666 Kingston 480GB A400 SATA3 2 5 SSD 77 67 Delivery Free with Prime Amazon US via Amazon AU,,,,,,,,,,,,,,,,,,,,1,1
46,Me Buys new comp after 5 years and uses Amazon Amazon You delivery will arrive a day later then intended Also Amazon Hasnt shipped yet and it supposed to arrive today,,,,,,,,,,,,,,,,,,,,1,1
47,Why would the guy lie I checked amazon it says delivery attempted at 12 41 pm At 7 10 I walked by my surveillance camera who do I see The ups guy sticking the notice to my door By the time I walked to the door he was gone wait until tomorrow Not nice mr delivery guy,,,,,,,,,,,,,,,,,,,,0,0
48,Ordered from 11th in stock and didn t ship until Yesterday at 5pm from Oakland and your system still shows today is fast but not that fast across country to FL UPS is showing delivery 4 18 My question is it sat in your warehouse for 7 days after ordering WHY pic twitter com 2G4JZIYTeZ,,,,,,,,,,,,,,,,,,,,1,1
49,Amazon Just Successfully Completed Its First Flying Drone Delivery ,,,,,,,,,,,,,,,,,,,,1,1
50,Amazon drone delivery to every citizen is still just a gleam in the eye evidently,,,,,,,,,,,,,,,,,,,,1,1
51,Idk who my amazon delivery person was just now but they were really out here ringing my bell like the cops or something THEN started ringing all the other bells for the building FIRST OF ALL CHILL TF OUT SECOND IT S ALMOST 7 30 PM WHY ARE YOU JUST SHOWING UP I m irritated,,,,,,,,,,,,,,,,,,,,1,1
52,A NYC council member is drafting a bill that would require companies like Doordash and I imagine Amazon indicate whether drivers receive the full tips that customers leave or if it will go toward the delivery drivers base pay ,,,,,,,,,,,,,,,,,,,,0,0
53,Amazon delivery service,,,,,,,,,,,,,,,,,,,,N,1
54,And recent leaked screenshots show their Amazon cart is filled with Sharpies And they ordered enough to hit the 35 threshold for Next Day Delivery NEXT DAY  ,,,,,,,,,,,,,,,,,,,,1,1
55,Klang Seagate Backup Plus 5TB Portable Drive USB 3 0 Blue 170 89 Delivery Free with Prime Amazon US via Amazon AU,,,,,,,,,,,,,,,,,,,,1,1
56,Brand new and for The Drone Delivery Startup That Could Beat Amazon NASDAQ AMZN,,,,,,,,,,,,,,,,,,,,1,1
57,Glad I was able to see our camera capture this delivery from What are your thoughts ,,,,,,,,,,,,,,,,,,,,1,1
58,If this is a new policy going forward I ll need to change my delivery preferences to use my work address or an Amazon locker as I m rarely home during the day,,,,,,,,,,,,,,,,,,,,1,1
59,Unfortunately with Amazon not using USPS anymore I m worried a lot of people will get laid off from the post office and Amazon will have their own non union delivery service that underpays everyone,,,,,,,,,,,,,,,,,,,,1,1
60,Amazon same day delivery is the most convenient thing ever,,,,,,,,,,,,,,,,,,,,1,1
61,We managed a fiver today in the delivery sweepstakes DHL USPS UPS FedEx and Amazon What do I win,,,,,,,,,,,,,,,,,,,,1,1
79,UPS delivery guy s to do list 1 Deliver Amazon package 2 Kill everyone in the house 3 Burn the house down Our dogs OH NO YOU DON T BARK BARK BARK UPS guy Rats Foiled again by those dogs I was only able to get the first one done Oh well I ll drive away now,,,,,,,,,,,,,,,,,,,,1,1
80,now lets Prime customers schedule orders for the delivery day of their choice  and it s a total game changer AMZN ,,,,,,,,,,,,,,,,,,,,0,0
81,the amazon delivery man told me that Im very pretty pic twitter com WoQw7FWa1W,,,,,,,,,,,,,,,,,,,,1,1
82,On d day of delivery seller informed to repay the amount as my first payment was failed same was confirmed by amazon customer service after making 2nd payment neither I got my item nor my refund and same thing is done with most of d customers by seller,,,,,,,,,,,,,,,,,,,,1,1
83,A slingshot Amazon delivery drone Curious as to what BS weapons tech Kim has up his sleeve,,,,,,,,,,,,,,,,,,,,0,0
84,USPS Workers 2008 What are we Netflix s DVD Delivery USPS Workers 2018 What are we Amazon Delivery Service What are they now Back to just bringing my junk mail again,,,,,,,,,,,,,,,,,,,,N,1
85,Amazon Japan provides global delivery I got mine in 5 days If you prefer local shops try Kinokuniya and Shimamura Music I came across tweets from music shops promoting it a month ago on twitter,,,,,,,,,,,,,,,,,,,,N,1
86,your delivery sucks Packages are routinely left by common office building door today I received an email at work telling me my office was closed at 4 PM It was not Your drivers are just lazy didnt want to get out of the car,,,,,,,,,,,,,,,,,,,,0,0
87,Amazon delivery gone astray ,,,,,,,,,,,,,,,,,,,,N,1
88,I bought a robe and a nursing gown Didnt wear it for delivery but definitely after Got them off of amazon The robe is so comfy Got nursing bras too,,,,,,,,,,,,,,,,,,,,N,1
89,I agree Ive just started getting into online food shopping I like Ocado and amazon prime which sends Morrisons as delivery is usually next day and for free It really does take the hassle out and helps to get organised,,,,,,,,,,,,,,,,,,,,1,1
90,Dear Thank you for informing me of a pickup location nearby I know that you would love for me to save you the cost of that last mile delivery but FFS delivering to my door is why I order stuff from you at all,,,,,,,,,,,,,,,,,,,,1,1
91,The latest sign of Amazon s expanded focus on logistics it is reportedly using fabric tents to expand its delivery operations in at least eight states pic twitter com nLey4AbdNR,,,,,,,,,,,,,,,,,,,,1,1
92,Fucked around and got amazon prime now I be ordering shit just cause its free delivery lol,,,,,,,,,,,,,,,,,,,,1,1
93,I am now being told delivery is Friday pic twitter com 3O3kcnpDpU,,,,,,,,,,,,,,,,,,,,N,1
94,So I ordered s new book on about a month a half ago When it was time to ship deliver they informed me that the delivery is delayed for about 5 7 days I had to cancel because amazon is now at the level of incompetence Especially for Prime members,,,,,,,,,,,,,,,,,,,,0,0
95,Amazon now lets Prime customers schedule orders for the delivery day of their choice  and it s a total game changer AMZN pic twitter com 0fZZG43d3D,,,,,,,,,,,,,,,,,,,,0,0
96,Tetris Effect is 15 on Amazon UK delayed delivery If you have PSVR its such a unique experience and for that price you must get it And if you dont have VR its still great ,,,,,,,,,,,,,,,,,,,,1,1
97,Amazon s fight with Amazon Fresh Delivery Service,,,,,,,,,,,,,,,,,,,,1,1
98,Another day another Amazon delivery pic twitter com tnzN8XZAGJ,,,,,,,,,,,,,,,,,,,,N,1
99,Goodness good thing I made sure I was home today because they put the large Amazon box tall ways and put the smaller one on top Nobody would ever know that we had a delivery Oh well now I can do yard work,,,,,,,,,,,,,,,,,,,,1,1
100,Amazon Logistics was blocked as a delivery option over a yr ago that is until 2 days ago Now Im being lied to and told it will take weeks to deprioritize UNACCEPTABLE They need to be REMOVED BLOCKED again,,,,,,,,,,,,,,,,,,,,N,1
101,After two delivery attempts still delivers phones faster than Amazon Prime delivers cases I ordered a case 5 min after I got off the phone with Rogers Phone here still waiting for case,,,,,,,,,,,,,,,,,,,,N,1
102,Get ready to use that Amazon Prime subscription free delivery,,,,,,,,,,,,,,,,,,,,1,1
103,I order nearly everything from Amazon myself I just hate them in the moment when smaller business are compared to them Shipping costs big money Amazon subsidizes it and holds the shipping companies over a barrel on delivery times no one else can do that,,,,,,,,,,,,,,,,,,,,0,0
104,Lesson learned Ordered a wrench for a project on Amazon Was going to be gone until today so instead of 2 day delivery chose the my prime day option and chose today Package was shipped via pack mule and the USPS handoff failed and now delivery is the 18 23,,,,,,,,,,,,,,,,,,,,0,0
105,I ordered a 20 backpack on amazon and apparently UPS attempted delivery today They didnt contact me and decided to not to leave it because they didnt want it to be left unattended in the hall of the apartment building I am sorry it is a cheap backpack what,,,,,,,,,,,,,,,,,,,,0,0
106,Amazon now lets Prime customers schedule orders for the delivery day of their choice  and it s a total game changer ,,,,,,,,,,,,,,,,,,,,0,0
107,And once again Amazon s awful clown private delivery service screws up ,,,,,,,,,,,,,,,,,,,,0,0
108,this is what I got after placing an order and receiving missing item delivery The customer care people directly denied to refund my money Attached is the mail from amazon CC Where is your 100 satisfaction policy Wonder you use a smiley in your logo twitter com 8OjbzUIbsE,,,,,,,,,,,,,,,,,,,,0,0
109,Amazon Prime Free 2 day delivery,,,,,,,,,,,,,,,,,,,,1,1
110,FLT The Drone Delivery Startup that could beat Amazon AMZN FLT V TAKOF croxon tsxv ,,,,,,,,,,,,,,,,,,,,N,1
111,I saw an delivery van drive through my neighborhood with a child in a car seat in the front passenger seat Hmm,,,,,,,,,,,,,,,,,,,,N,1
112,Not all items are eligible for return to an Amazon Locker If you re not given the option to return your item to an Amazon Locker please select an alternative delivery method CI,,,,,,,,,,,,,,,,,,,,N,1
113,Bayley in Baby Pink cos Huggers gotta hug Fast delivery with Merch by Amazon twitter com 3YQG2iBmWJ,,,,,,,,,,,,,,,,,,,,1,1
114,All three orders are Delivery By Amazon,,,,,,,,,,,,,,,,,,,,N,1
