,Text,,,,,,,,,,,,,,,,,,,,,Label
1,Locker Revolution Locker Adjust a Shelf Colors May Vary 05021,,,,,,,,,,,,,,,,,,,,,1
2,Just saw this on Amazon Official NFL Super Bowl XLIV Champs Saints Locker by ONFIELD APPAREL GROUP LLC for 9 98,,,,,,,,,,,,,,,,,,,,,1
3,Check out this Amazon deal The Hurt Locker Blu ray Jeremy Renner Anthony Mack,,,,,,,,,,,,,,,,,,,,,1
4,So im here at work hating it as usual and da 1st person to walk thru da womens locker room is some tall amazon chick wit a great body,,,,,,,,,,,,,,,,,,,,,1
5,Anybody know where I can buy a North Korean Soccer jersey Champs Foot Locker Amazon Big 5 eBay Eh fk it I give up,,,,,,,,,,,,,,,,,,,,,1
6,Just saw this on Amazon Hurt Locker Blu ray DVD Blu ray SteelBook Spanish Import by Blu ray for 49 99,,,,,,,,,,,,,,,,,,,,,1
8,I love how keeps sending me free download codes when I buy stuff Just rented Hurt Locker for free Downloading to now,,,,,,,,,,,,,,,,,,,,,1
9,Los Angeles Lakers 2010 NBA Finals Champions Official Locker Room T Shirt,,,,,,,,,,,,,,,,,,,,,1
10,Some girl in the locker room at Gold s just called me an amazon woman because I m tall And she told me not to beat her up Seriously,,,,,,,,,,,,,,,,,,,,,0
11,The Hurt Locker DVD 2008 The Hurt Locker DVD 2008 Starring Jeremy Renner Anthony Mackie Dire,,,,,,,,,,,,,,,,,,,,,1
15,Just saw this on Amazon Chicago Blackhawks 2010 Stanley Cup Champions Locker Room Cap by New Era for 29 90,,,,,,,,,,,,,,,,,,,,,1
18,Gross RT The Amazon room has the aroma of a high school boys locker room,,,,,,,,,,,,,,,,,,,,,1
19,The Amazon room has the aroma of a high school boys locker room,,,,,,,,,,,,,,,,,,,,,1
40,The Hurt Locker Blu ray is now on sale for 16 99 at Amazon Product page,,,,,,,,,,,,,,,,,,,,,1
46,NBA 2K10 Anniversary Edition PS3 complete with giant game locker only 50 at Amazon,,,,,,,,,,,,,,,,,,,,,0
58,Check out this Amazon deal The Hurt Locker Blu ray by Jeremy Renner Anthony Mack,,,,,,,,,,,,,,,,,,,,,1
60,RT Checkout Flatline off my album LOCKER STATUS now available on iTunes Amazon and other onl,,,,,,,,,,,,,,,,,,,,,1
61,Great deal on Amazon Blackhawks 2010 Stanley Cup Champs Locker Room Flex Hat,,,,,,,,,,,,,,,,,,,,,1
62,RT Checkout Below Me off my album LOCKER STATUS now available on iTunes Amazon and other onl,,,,,,,,,,,,,,,,,,,,,1
63,Checkout Test Dummy off my album LOCKER STATUS now available on iTunes Amazon and other online stores,,,,,,,,,,,,,,,,,,,,,1
64,Checkout Below Me off my album LOCKER STATUS now available on iTunes Amazon and other online stores,,,,,,,,,,,,,,,,,,,,,1
65,Checkout Flatline off my album LOCKER STATUS now available on iTunes Amazon and other online stores,,,,,,,,,,,,,,,,,,,,,1
66,Checkout Daddy off my album LOCKER STATUS now available on iTunes Amazon and other online stores,,,,,,,,,,,,,,,,,,,,,1
67,Checkout Ur GFs Back off my album LOCKER STATUS now available on iTunes Amazon and other online stores,,,,,,,,,,,,,,,,,,,,,1
69,Checkout Confidentiality off my album LOCKER STATUS now available on iTunes Amazon and other online store,,,,,,,,,,,,,,,,,,,,,1
70,Checkout Rebel Yell off my album LOCKER STATUS now available on iTunes Amazon and other online stores,,,,,,,,,,,,,,,,,,,,,1
71,Below Me off my album LOCKER STATUS now available on iTunes Amazon and other online stores,,,,,,,,,,,,,,,,,,,,,1
72,Pyro off my album LOCKER STATUS now available on iTunes Amazon and other online stores,,,,,,,,,,,,,,,,,,,,,1
73,Locker Status off my album LOCKER STATUS now available on iTunes and Amazon,,,,,,,,,,,,,,,,,,,,,1
79,On sale at Amazon 5 pack of Litter Locker Plus Refill Cartridge,,,,,,,,,,,,,,,,,,,,,1
81,Chicago Blackhawks 2010 Stanley Cup Champions Locker Room Flex Fit Cap,,,,,,,,,,,,,,,,,,,,,1
86,Great deal on Amazon The Hurt Locker Blu ray,,,,,,,,,,,,,,,,,,,,,1
87,Killer Amazon Blu ray Deals Incredible Hulk Coraline Under 10 Hurt Locker Under 15 High def week at Amazon c,,,,,,,,,,,,,,,,,,,,,1
88,RT my album LOCKER STATUS iS NOW AVAILABLE ON ITUNES AND AMAZON PLEASE SUPPORT SPREAD THE WORD,,,,,,,,,,,,,,,,,,,,,1
89,pah I got my red hi tops from amazon for 25 Foot locker can suck it,,,,,,,,,,,,,,,,,,,,,1
90,my album LOCKER STATUS iS NOW AVAILABLE ON ITUNES AND AMAZON PLEASE SUPPORT SPREAD THE WORD,,,,,,,,,,,,,,,,,,,,,1
92,Movers Shakers The Hurt Locker Blu ray Starring Jeremy Renner Anthony Mackie Director Kathryn B,,,,,,,,,,,,,,,,,,,,,1
94,Amazon Movies TV The Hurt Locker Blu ray The Hurt Locker Blu ray Starring Jeremy Renner Anthony Mack,,,,,,,,,,,,,,,,,,,,,1
100,Amazon Save Big in Toy A Childsupply Coat Locker No F8062,,,,,,,,,,,,,,,,,,,,,1
103,I bought some running shoes frm Amazon sold by Foot Locker Checked Foot Locker site Amazon was cheaper on shipping,,,,,,,,,,,,,,,,,,,,,1
104,On sale at Amazon 10 Pack of Litter Locker Plus Refill Cartridge,,,,,,,,,,,,,,,,,,,,,1
107,yesssss D sold my psych mental health book on amazon for 40 now I gotta wait till tomorrow to get it out of my school s locker,,,,,,,,,,,,,,,,,,,,,0
108,Oh WTF A ton of people reviewed The Hurt Locker on Amazon and gave it one star Yeesh To say I disagree is an understatement,,,,,,,,,,,,,,,,,,,,,0
109,Therapy could easily be titled After the Hurt Locker Amazon Video On Demand,,,,,,,,,,,,,,,,,,,,,1
110,The Hurt Locker Video On Demand Jeremy Renner 470 Sales Rank in Amazon Video On Demand 17 was 97 yesterday,,,,,,,,,,,,,,,,,,,,,0
113,The Hurt Locker Video On Demand Jeremy Renner 518 Sales Rank in Amazon Video On Demand 16 was 99 yesterday,,,,,,,,,,,,,,,,,,,,,0
114,The Hurt Locker The Hurt Locker Video On Demand Jeremy Renner 586 Sales Rank in Amazon Vid,,,,,,,,,,,,,,,,,,,,,0
115,The Hurt Locker Video On Demand Jeremy Renner 586 Sales Rank in Amazon Video On Demand 15 was 103 yesterday,,,,,,,,,,,,,,,,,,,,,0
117,The Hurt Locker Video On Demand Jeremy Renner 190 Sales Rank in Amazon Video On Demand 395 was 1 147 yesterd,,,,,,,,,,,,,,,,,,,,,0
